LichessPuzzleId,FEN,Rating,PreLastMovePositionEvaluation,LastMove,CurrentPositionEvaluation,EvaluatedMoves
QHUWW,2r1k2r/pp1b4/4p2R/3pP3/3K1p2/3B1P2/PP1q4/7R w k - 0 26,1059,#+6,g2d2 #-2,#+2,"h6h8 #+2,h6e6 #-5,h1h2 #-1,b2b3 #-1,h6h2 #-1,h1b1 #-1,b2b4 #-1,h1c1 #-1,a2a3 #-1,a2a4 #-1,h6h7 #-1,h6g6 #-1,h6f6 #-1,h6h5 #-1,h6h4 #-1,h6h3 #-1,h1h5 #-1,h1h4 #-1,h1a1 #-1,h1d1 #-1,h1e1 #-1,h1f1 #-1,h1g1 #-1,h1h3 #-1"
QHWtU,8/1p6/1P2k3/5p2/2K2np1/4P1P1/8/8 w - - 0 54,1642,0,e2f4 -553,+553,"e3f4 +553,e3e4 #-32,g3f4 #-22,c4c3 #-20,c4b3 #-20,c4d4 #-20,c4c5 #-19,c4b4 #-18,c4b5 #-17"
QHUrX,1k1r4/pP4p1/3N4/3q4/8/3n1RPp/4r2P/2Q2RK1 w - - 0 31,1272,+11,f2d3 #-2,#+2,"c1c8 #+2,c1c4 -663,f3f2 #-26,c1c3 #-19,d6f7 #-12,d6f5 #-9,g3g4 #-8,c1c7 #-8,c1g5 #-7,d6e4 #-7,f1d1 #-7,c1a1 #-7,c1a3 #-7,c1f4 #-7,c1d1 #-7,d6b5 #-7,d6e8 #-7,d6c4 #-6,c1c6 #-6,c1c2 #-6,c1d2 #-6,c1b2 #-6,f1e1 #-6,d6c8 #-6,c1b1 #-6,c1h6 #-6,f1f2 #-6,c1e1 #-5,c1c5 #-5,g1h1 #-5,c1e3 #-5,f3f4 #-1,f3f6 #-1,f3d3 #-1,f3f8 #-1,f3e3 #-1,f3f7 #-1,f3f5 #-1"
QHXhk,2r5/5r1p/6p1/3p2Pk/1p6/4q1QP/5PK1/8 w - - 0 47,1010,+523,c1e3 #-1,#+1,"g3g4 #+1,f2e3 -325,g3e3 -572,g2h1 #-6,f2f3 #-5,h3h4 #-5,g2g1 #-5,g3h4 #-4,g2h2 #-4,g2f1 #-3,g3f4 #-3,f2f4 #-3,g3f3 #-3,g3c7 #-2,g3h2 #-2,g3b8 #-2,g3d6 #-2,g3e5 #-2"
QHUZN,8/5r2/7p/8/4k1PP/3p2K1/3B2N1/8 b - - 2 48,1091,+44,e1g2 -532,+532,"f7f3 +532,h6h5 0,f7f1 0,f7b7 -28,f7d7 -70,f7h7 -70,f7c7 -71,f7f6 -71,e4d4 -72,f7f8 -72,f7a7 -72,e4d5 -297,e4e5 -298,f7e7 -303,f7g7 -337,f7f5 #-21,f7f2 #-21,f7f4 #-20"
QHWOL,3r3k/r2p1R1p/2p5/2P4P/pP2K3/P7/6R1/8 b - - 4 40,1700,+455,f5f7 -388,+388,"d7d5 +388,d8g8 -501,h7h6 -539,a7b7 -542,d8e8 -545,a7a8 -556,a7c7 -556,d8b8 -567,d8a8 -567,d8c8 -573,a7a6 -574,a7a5 #-19,d7d6 #-18,d8f8 #-1"
QHX38,8/8/4b2p/1pk1p1p1/p4pP1/P1PB1P2/1P2K2P/8 b - - 7 42,1819,0,f2e2 -577,+577,"e6c4 +577,e6g8 0,e6c8 0,e6f7 0,e6a2 0,e6b3 0,e6d7 0,c5b6 0,c5c6 0,e6d5 0,e5e4 0,c5d6 -2,b5b4 -216,c5d5 -278,e6g4 -532,h6h5 -544,e6f5 -646"
QHUrc,5rk1/pp3p1p/2p3p1/2Q3R1/8/P7/1P1r1q2/2KR4 w - - 0 27,1438,+19,d4d2 -303,+303,"d1d2 +303,c5f8 -511,c5f2 -560,d1h1 -594,d1g1 -604,g5g6 -635,g5d5 -775,b2b4 -827,d1f1 -836,b2b3 -850,c1b1 -1081,c5c4 #-17,c5f5 #-16,g5g1 #-16,a3a4 #-12,g5e5 #-11,c5e5 #-11,g5f5 #-11,g5h5 #-11,g5g4 #-10,c5d4 #-9,c5c3 #-9,c5c6 #-9,c5b4 #-9,g5g3 #-8,c5b5 #-8,c5b6 #-6,c5d5 #-6,g5g2 #-6,c5e7 #-4,c5a5 #-4,c5d6 #-4,c5a7 #-4,c5e3 #-4,c5c2 #-4,d1e1 #-1"
QHYHO,8/2p2p2/p7/2kpPK2/P5P1/7P/8/8 b - - 1 46,851,+351,f6f5 -318,+318,"d5d4 +318,c5b4 +1,c5c4 -30,c7c6 -32,a6a5 -105,c5d4 -176,c5c6 -568,c5b6 -635,f7f6 -806"
QHXn8,4r2k/5Q2/3B2pp/5b2/8/2P3P1/P4P1P/4qBK1 b - - 0 28,1979,-379,f4d6 #-3,#+3,"e1f1 #+3,f5d3 0,f5h3 0,e8e6 0,e8e4 0,e1e6 -8,h6h5 -30,f5c8 -78,f5g4 -79,e8e3 -229,e8e2 -370,f5d7 -590,g6g5 -599,e8d8 -615,e8a8 -618,e8c8 -631,e8b8 -649,e1e4 -650,e8g8 -689,f5b1 -695,f5c2 -726,f5e6 #-16,e8e5 #-12,e1c3 #-11,e1e5 #-11,e1e2 #-10,e8f8 #-8,e8e7 #-7,e1e7 #-7,e1e3 #-4,e1f2 #-4,e1b1 #-3,e1c1 #-3,e1d2 #-3,e1d1 #-3,f5e4 #-3,e1a1 #-3"
QHWcG,4r2k/ppp3p1/7p/2Nb4/8/PQ4PP/1P3P2/3B2K1 b - - 0 26,1154,-552,e6c5 #-2,#+2,"e8e1 #+2,d5b3 -132,c7c6 -528,d5g8 -628,d5c6 -643,e8e5 -681,e8d8 -726,b7b6 -783,d5c4 -809,d5e4 -869,d5h1 #-25,d5e6 #-16,d5g2 #-10,h8h7 #-10,g7g5 #-10,e8e6 #-10,e8e7 #-9,b7b5 #-9,e8f8 #-9,a7a5 #-8,g7g6 #-8,a7a6 #-8,e8a8 #-8,e8g8 #-8,e8b8 #-8,e8c8 #-8,h6h5 #-8,e8e2 #-8,d5f3 #-8,e8e4 #-8,e8e3 #-7,h8g8 #-7,d5f7 #-6"
QHUh7,6k1/5R2/p1Q1p1pp/1p2q3/1P1r4/P5P1/5P1P/6K1 w - - 1 38,898,-702,h7g8 #-1,#+1,"c6e8 #+1,c6f3 +163,f7e7 +153,f7a7 +135,c6b7 +124,f7c7 +117,f7b7 +114,f7f3 +74,f7d7 +16,f7f4 0,c6c7 0,f7f5 -486,f7f6 -486,f7h7 -525,c6a6 -541,c6c1 -556,f7f8 -556,c6d7 -557,h2h3 -583,g1g2 -583,h2h4 -583,f7g7 -589,g1f1 -594,c6a8 -597,c6c8 -597,c6b6 -599,c6c5 -604,g3g4 -604,c6c2 -604,g1h1 -604,a3a4 -627,c6g2 -833,c6c4 -836,c6h1 -836,c6c3 #-18,c6d6 #-18,c6b5 #-14,c6e6 #-9,c6d5 #-4,c6e4 #-4,f2f4 #-4,f2f3 #-3"
QHXb0,r3kb1r/pbpnqp2/1p1p1p2/3Pp2p/4P3/2NB1N2/PPPQ1PPP/2KR3R b kq - 1 11,1084,+209,e1c1 -411,+411,"f8h6 +411,f6f5 -18,b6b5 -153,a7a6 -155,b7c8 -161,e7d8 -162,e8c8 -163,e8d8 -169,f8g7 -169,h5h4 -187,h8h7 -199,d7c5 -200,a7a5 -209,d7b8 -213,a8b8 -215,h8g8 -215,b7a6 -225,a8c8 -234,a8d8 -237,c7c5 -255,c7c6 -256,h8h6 -284,b7c6 -327,b7d5 -498,e7e6 -597"
